# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
203 | orphaned | feat/sd-token-pipeline | origin/feat/sd-token-pipeline | [behind 43] | 184 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
204 | orphaned | feat/tlw15-theme-step-preview | origin/feat/tlw15-theme-step-preview | [behind 11] | 15 | apps/desktop/src/components/StatusTag.tsx, apps/desktop/src/components/ThemePicker.test.tsx, apps/desktop/src/components/ThemePicker.tsx
205 | orphaned | feat/trqq-splash-before-migration | origin/feat/trqq-splash-before-migration | [behind 22] | 94 | .design-sync/conventions.md, .github/workflows/e2e.yml, Cargo.lock
206 | orphaned | feat/validate-token-references | origin/feat/validate-token-references | (none) | 0 | (none)
207 | orphaned | fix-466 | origin/037-archive-cleanup-apply | (none) | 0 | (none)
208 | orphaned | fix-470-journeys | origin/037-journeys-sourceview-perframe | (none) | 0 | (none)
209 | orphaned | fix-antipattern-cleanup | origin/fix-antipattern-cleanup | (none) | 0 | (none)
210 | orphaned | fix-backlog-defects | origin/fix-backlog-defects | (none) | 0 | (none)
211 | orphaned | fix-calibration-matching-unreachable | origin/fix-calibration-matching-unreachable | (none) | 0 | (none)
212 | orphaned | fix-inbox-rescan-registered-roots | origin/fix-inbox-rescan-registered-roots | (none) | 0 | (none)
213 | orphaned | fix-inbox-splitrow-label | origin/fix-inbox-splitrow-label | (none) | 0 | (none)
214 | orphaned | fix-main-e2e-interplay | origin/fix-main-e2e-interplay | [behind 1] | 4 | apps/desktop/src/main.tsx, apps/desktop/vite.config.ts, crates/e2e-tests/tests/common/mod.rs
215 | orphaned | fix-wizard-journey-flake | origin/fix-wizard-journey-flake | (none) | 0 | (none)
216 | orphaned | fix/025-r-pause-1-resume-executor | origin/fix/025-r-pause-1-resume-executor | (none) | 0 | (none)
217 | orphaned | fix/025-t025-move-op-rollback-tests | origin/fix/025-t025-move-op-rollback-tests | (none) | 0 | (none)
218 | orphaned | fix/058-source-group-selection | origin/fix/058-source-group-selection | (none) | 0 | (none)
219 | orphaned | fix/058-wire-sourcegroup-classify | origin/fix/058-wire-sourcegroup-classify | (none) | 0 | (none)
